Drinking,Spawn,Brooke,Knightly,chess pieces in words
Feta,Piano,Taurus,Omegaverse,greek letters in words
Bull,Alert,Panda,Wine,red __
Hamburger,Wiener,Sichuan Pepper,Pad Thai,toponymic food names
Jimi,Brian,Amy,Kurt,people who died aged 27
FRACTRAN,Polyhedron,Doomsday,Life,john conway's creations
Bell,Ghost,Scorpion,Carolina,pepper names
25,13,3,1,a1z26 for YMCA
Beethoven's 7th,Center of Gravity,3rd of November,Very Beginning,the letter v
Turn,River,Hand,Flush,poker terms
Po,Fin,Ire,Ice,__ land (countries)
Alan Turing,Cleopatra,Adolf Hitler,Snow White,people who were poisoned
Burn,Murder,College,Temperature,things with degrees
Shell,Sel,Silver,Sword,__ fish
Cipher,Corn,Hedge,Pan,types of labyrinths/mazes
Slip,Butterfly,Overhand,Figure 8,types of knots
Circles,Drum,Fruit,Piano,osu gamemodes
Deltahedra,Planets,Spider,Tentacles,associated with the number 8
Flow,Bar,Pie,Tree,types of charts
339⁄108,3927⁄1250,62832⁄20000,25⁄8,pi approximations
Pentasyllabic,Unhyphenated,Noun,Defined,autological words (they define themselves)
Covid,Frats,Stars,Angles,things that use greek letters
Waste,Tow,Knows,I,homophones of bodyparts
Tar,Chop,Boo,Bye,words that repeat themselves
Diamonds,Bear,City,Machine,and the __
Monika,Elle Woods,Spock,Phoebe Buffay,fictional vegetarians
Vega,Water,Greenwich,"Midnight, 1st January 1970",baselines
Road,Floor,Button,Sack,hit the __
Luke,Monopoly,Champions,Berenstain,famous mandela effects
Cat,Tortoise,Sentence,Grandfather,paradoxes
