minecraft,RD S TN,REDSTONE,ND P RT L,END PORTAL,TTM FN DNG,TOTEM OF UNDYING ,CRSFB NDNG,CURSE OF BINDING
videogames,P RTL,PORTAL,ST P HN SS GR LL,STEPHEN'S SAUSAGE ROLL,BB SY,BABA IS YOU ,T HT LSPR N CP L,THE TALOS PRINCIPLE
onilne riddles,C P HR,CIPHER,SN C HRN C T,SYNCHRONICITY,D DPW N,ODDPAWN,ZS T,ZEST
ciphers,RL FN C,RAILFENCE,FF N,AFFINE,TB SH,ATBASH,CS R,CAESAR
types of soup,GZ P CH,GAZPACHO,FRN C H NN,FRENCH ONION,PM P KN,PUMPKIN ,MS HRM,MUSHROOM
quotes from videogames,THC KS L,THE CAKE IS A LIE,"TW NM BR9 S,NM BR9L RG6W THXT RD P,NM BR7,TW NMB R45S,N WTH CHS ,ND LR GS D","TWO NUMBER 9S, A NUMBER 9 LARGE, A NUMBER 6 WITH EXTRA DIP, A NUMBER 7, TWO NUMBER 45S, ONE WITH CHEESE, AND A LARGE SODA",TK N RRW N THKN,I TOOK AN ARROW IN THE KNEE,DDVR TLL YWHT THDFN TNF NSNT S?,DID I EVER TELL YOU WHAT THE DEFINITION OF INSANITY IS?
youtubers,M RBS T,MR BEAST,D RM,DREAM,PW DP,PEWDIEPIE,JMSC HRLS,JAMES CHARLES
paper-and-pencil puzzles,S DK,SUDOKU,SLT HRL NK,SLITHERLINK,BT TLSH P,BATTLESHIP,HN GMN,HANGMAN
among us locations,CM MNC TNS,COMMUNICATIONS,LW RNG N,LOWER ENGINE,CF T R,CAFETERIA,NVG TN,NAVIGATION
dinosaurs,VL CR P TR,VELOCIRAPTOR,B RC HS RS,BRACHIOSAURUS,S TGS RS,STEGOSAURUS,B RN TS RS,BRONTOSAURUS
space terms to make people feel stupid,R RB RL S,AURORA BOREALIS,BG BN G,BIG BANG,D WRFPL NT,DWARF PLANET,LG H TYR,LIGHT YEAR
constsellations,P HNX,PHOENIX,RN,ORION,S CR PN,SCORPION,ND R M D,ANDROMEDA
portal 2,P RT LG N,PORTAL GUN,G LDS,GLADOS,W HT L,WHEATLY,PRT RS CNC,APERTURE SCIENCE
gemstones,SP P HR,SAPPHIRE,MR LD,EMERALD,PL,OPAL,PR DT,PERIDOT
minecraft mobs (for ghosts),ND RD RGN,ENDER DRAGON,WN DN GT RDR,WANDERING TRADER,V ND CT R,VINDICATOR,M SHR M,MOOSHROOM
cat breeds,MN C N,MAINE COON,PR SN,PERSIAN,SMS,SIAMESE,CLC,CALICO
art movements,X P RS SNS M,EXPRESSIONISM,C BS M,CUBISM,SR RL S M,SURREALISM,RNS SNC,RENAISSANCE
cryptocurrencies,T HRM,ETHEREUM,D GC N,DOGECOIN,HLM,HELIUM,STCKS,STACKS
cloud types,NM BST RTS,NIMBOSTRATUS,CR RS,CIRRUS,ST RTC MLS,STRATOCUMULUS,CML NM BS,CUMULONIMBUS
moons of saturn,TTN,TITAN,NCLDS,ENCELADUS,HPRN,HYPERION,DN,DIONE
types of pasta,F SL L,FUSILLI,LS GN,LASAGNE,FR F LL,FARFALLE,RT N,ROTINI
flower names,HY CN TH,HYACINTH,CM LL,CAMELLIA,R,RUE,PR M RS,PRIMROSE
fast food chains,DR QN,DAIRYQUEEN,PP YS,POPEYES,F VGY S,FIVEGUYS,N NT,INNOUT
